game_id,date,season,status,home_team_id,away_team_id,home_team_name,away_team_name,home_runs,away_runs,runs_diff,winner,home_days_since_last_game,away_days_since_last_game,home_win_streak,away_win_streak,spread_home,odd_home_american,odd_home_decimal,odd_sign_home,spread_away,odd_away_american,odd_away_decimal,odd_sign_away,predicted_winner,model_prob_home,model_prob_away,predicted_diff,diff_vs_line_home,diff_vs_line_away,implied_prob_home,implied_prob_away,edge_home,edge_away,ev_home,ev_away,cover_streak_home_10,cover_streak_away_10,cover_team,predicted_cover,prob_cover_away,prob_cover_home,stake,profit
3340,2025-04-02,2025,STATUS_FINAL,7,28,Cincinnati Reds,Texas Rangers,0.0000000000,1.0000000000,1.0000000000,0,1,1,0,1,-1.5000000000,140,2.4000000000,1,1.5000000000,-160,1.6250000000,0,0,0.4923857570,0.5076142430,3.4961023319,1.9961023319,4.9961023319,0.4166666667,0.6153846154,0.0757190903,-0.1077703724,0.1817258167,-0.1751268551,2,1,0,0,0.6051643729,0.3948356271,20000.0000000000,12500.0000000000
3341,2025-04-02,2025,STATUS_FINAL,29,30,Toronto Blue Jays,Washington Nationals,4.0000000000,2.0000000000,2.0000000000,1,1,1,3,0,1.5000000000,-164,1.6097560976,0,-1.5000000000,149,2.4900000000,1,1,0.5595531942,0.4404468058,3.6088353760,5.1088353760,2.1088353760,0.6212121212,0.4016064257,-0.0616589270,0.0388403801,-0.0992558338,0.0967125465,5,3,1,1,0.3680303156,0.6319696844,20000.0000000000,12195.1219512195
3345,2025-04-02,2025,STATUS_FINAL,11,24,Houston Astros,San Francisco Giants,3.0000000000,6.0000000000,3.0000000000,0,1,1,0,3,-1.5000000000,145,2.4500000000,1,1.5000000000,-177,1.5649717514,0,1,0.5086968169,0.4913031831,3.4649881509,1.9649881509,4.9649881509,0.4081632653,0.6389891697,0.1005335516,-0.1476859866,0.2463072014,-0.2311243971,1,0,0,0,0.6290613557,0.3709386443,20000.0000000000,11299.4350282486
3843,2025-04-03,2025,STATUS_FINAL,17,11,Minnesota Twins,Houston Astros,2.0000000000,5.0000000000,3.0000000000,0,1,1,2,0,-1.5000000000,181,2.8100000000,1,1.5000000000,-200,1.5000000000,0,0,0.4663706953,0.5336293047,3.3802851697,1.8802851697,4.8802851697,0.3558718861,0.6666666667,0.1104988092,-0.1330373619,0.3105016537,-0.1995560429,0,1,0,0,0.6325190390,0.3674809610,20000.0000000000,10000.0000000000
4140,2025-04-04,2025,STATUS_FINAL,5,23,Chicago Cubs,San Diego Padres,3.0000000000,1.0000000000,2.0000000000,1,2,2,3,7,-1.5000000000,140,2.4000000000,1,1.5000000000,-170,1.5882352941,0,1,0.5073146473,0.4926853527,3.4583462327,1.9583462327,4.9583462327,0.4166666667,0.6296296296,0.0906479807,-0.1369442770,0.2175551536,-0.2174997340,1,6,1,0,0.6193949388,0.3806050612,20000.0000000000,-20000.0000000000
4143,2025-04-04,2025,STATUS_FINAL,13,8,Los Angeles Angels,Cleveland Guardians,6.0000000000,8.0000000000,2.0000000000,0,2,2,0,0,1.5000000000,-166,1.6024096386,0,-1.5000000000,151,2.5100000000,1,1,0.5204716861,0.4795283139,3.3134709550,4.8134709550,1.8134709550,0.6240601504,0.3984063745,-0.1035884643,0.0811219394,-0.1659911537,0.2036160680,1,1,0,1,0.4083823224,0.5916176776,20000.0000000000,-20000.0000000000
4144,2025-04-04,2025,STATUS_FINAL,24,25,San Francisco Giants,Seattle Mariners,10.0000000000,9.0000000000,1.0000000000,1,2,2,4,1,-1.5000000000,145,2.4500000000,1,1.5000000000,-160,1.6250000000,0,0,0.4800691652,0.5199308348,3.4101859362,1.9101859362,4.9101859362,0.4081632653,0.6153846154,0.0719058999,-0.0954537806,0.1761694547,-0.1551123935,0,4,0,0,0.6150313478,0.3849686522,20000.0000000000,12500.0000000000
4141,2025-04-04,2025,STATUS_FINAL,28,27,Texas Rangers,Tampa Bay Rays,5.0000000000,2.0000000000,3.0000000000,1,2,2,2,0,-1.5000000000,162,2.6200000000,1,1.5000000000,-178,1.5617977528,0,0,0.4896106630,0.5103893370,3.4643366785,1.9643366785,4.9643366785,0.3816793893,0.6402877698,0.1079312737,-0.1298984328,0.2827799371,-0.2028750804,1,3,1,0,0.6169723893,0.3830276107,20000.0000000000,-20000.0000000000
4521,2025-04-05,2025,STATUS_FINAL,28,27,Texas Rangers,Tampa Bay Rays,6.0000000000,4.0000000000,2.0000000000,1,1,1,3,0,-1.5000000000,122,2.2200000000,1,1.5000000000,-134,1.7462686567,0,0,0.4908213055,0.5091786945,3.5220479303,2.0220479303,5.0220479303,0.4504504505,0.5726495726,0.0403708551,-0.0634708782,0.0896232983,-0.1108372052,2,3,1,0,0.5987307299,0.4012692701,20000.0000000000,-20000.0000000000
4524,2025-04-05,2025,STATUS_FINAL,24,25,San Francisco Giants,Seattle Mariners,4.0000000000,1.0000000000,3.0000000000,1,1,1,5,0,-1.5000000000,166,2.6600000000,1,1.5000000000,-183,1.5464480874,0,0,0.4738989645,0.5261010355,3.2851346715,1.7851346715,4.7851346715,0.3759398496,0.6466431095,0.0979591149,-0.1205420740,0.2605712456,-0.1864120599,0,3,1,0,0.6257120515,0.3742879485,20000.0000000000,-20000.0000000000
